TeamName,ScoreOff,FirstDown,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,SackYdsOff,PenYdsOff,PuntAvgOff,ScoreDef,FirstDownDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,SackYdsDef,PenYdsDef,Wins
Arizona Cardinals,354.0,330.0,422.0,1540.0,574.0,363.0,4002.0,22.0,9.0,289.0,744.0,733.3999999999999,324.0,309.0,370.0,1351.0,625.0,367.0,3728.0,20.0,10.0,337.0,25.0,10
Atlanta Falcons,322.0,330.0,321.0,1247.0,659.0,445.0,4243.0,17.0,11.0,298.0,788.0,720.8000000000002,443.0,326.0,455.0,2173.0,516.0,341.0,3897.0,10.0,11.0,231.0,31.0,4
Baltimore Ravens,306.0,294.0,423.0,1328.0,619.0,363.0,3590.0,23.0,6.0,324.0,942.0,717.6999999999999,352.0,285.0,440.0,1687.0,552.0,314.0,3681.0,16.0,8.0,257.0,14.0,6
Buffalo Bills,315.0,301.0,546.0,2307.0,522.0,299.0,3103.0,15.0,12.0,270.0,952.0,687.4,388.0,307.0,471.0,2063.0,561.0,310.0,3271.0,23.0,7.0,395.0,24.0,7
Carolina Panthers,343.0,318.0,483.0,2026.0,473.0,292.0,3043.0,13.0,6.0,336.0,671.0,749.5999999999999,241.0,278.0,352.0,1391.0,563.0,375.0,3429.0,20.0,10.0,424.0,23.0,12
Chicago Bears,369.0,311.0,372.0,1679.0,543.0,346.0,3940.0,13.0,10.0,162.0,693.0,610.1,450.0,330.0,455.0,2385.0,482.0,301.0,3600.0,19.0,9.0,175.0,31.0,7
Cleveland Browns,302.0,301.0,347.0,1383.0,681.0,379.0,4040.0,20.0,9.0,332.0,920.0,699.4999999999999,406.0,328.0,462.0,1781.0,605.0,363.0,3538.0,14.0,7.0,185.0,6.0,5
Dallas Cowboys,423.0,325.0,336.0,1507.0,586.0,375.0,3954.0,12.0,8.0,272.0,867.0,730.4,432.0,387.0,437.0,2056.0,623.0,403.0,4589.0,15.0,13.0,246.0,16.0,6
Denver Broncos,514.0,401.0,430.0,1770.0,633.0,428.0,5030.0,9.0,15.0,128.0,945.0,655.3,351.0,315.0,406.0,1574.0,577.0,332.0,3600.0,16.0,8.0,254.0,41.0,12
Detroit Lions,374.0,350.0,445.0,1792.0,634.0,371.0,4482.0,19.0,15.0,168.0,925.0,744.6999999999999,376.0,290.0,377.0,1596.0,572.0,338.0,3950.0,15.0,7.0,249.0,21.0,8
Green Bay Packers,335.0,324.0,417.0,1954.0,541.0,342.0,3986.0,16.0,9.0,267.0,681.0,664.0,397.0,315.0,413.0,1889.0,518.0,318.0,3824.0,11.0,11.0,225.0,38.0,6
New York Giants,271.0,280.0,381.0,1332.0,567.0,325.0,3588.0,29.0,15.0,287.0,786.0,747.8,383.0,326.0,454.0,1743.0,601.0,361.0,3573.0,17.0,12.0,214.0,23.0,5
Indianapolis Colts,371.0,318.0,409.0,1743.0,582.0,350.0,3725.0,10.0,4.0,227.0,576.0,728.6999999999999,336.0,318.0,448.0,2002.0,536.0,324.0,3711.0,15.0,11.0,248.0,20.0,10
Jacksonville Jaguars,238.0,270.0,378.0,1260.0,592.0,349.0,3441.0,21.0,6.0,310.0,797.0,731.3,449.0,354.0,507.0,2108.0,551.0,354.0,3962.0,11.0,10.0,225.0,9.0,5
Kansas City Chiefs,413.0,323.0,442.0,2056.0,546.0,333.0,3340.0,8.0,10.0,221.0,774.0,731.3,305.0,302.0,428.0,1923.0,592.0,334.0,3962.0,21.0,15.0,309.0,17.0,10
Miami Dolphins,293.0,278.0,349.0,1440.0,594.0,357.0,3567.0,19.0,7.0,399.0,598.0,776.3000000000001,335.0,326.0,484.0,1998.0,580.0,344.0,3752.0,18.0,6.0,272.0,24.0,8
Minnesota Vikings,361.0,309.0,423.0,2081.0,546.0,325.0,3427.0,19.0,13.0,218.0,695.0,716.4000000000001,480.0,368.0,443.0,1767.0,648.0,419.0,4598.0,12.0,8.0,274.0,30.0,6
New England Patriots,431.0,378.0,470.0,2065.0,628.0,380.0,4087.0,11.0,9.0,256.0,625.0,728.8000000000001,338.0,338.0,481.0,2145.0,589.0,336.0,3824.0,17.0,12.0,313.0,13.0,11
New Orleans Saints,398.0,358.0,391.0,1473.0,651.0,446.0,4918.0,12.0,7.0,244.0,817.0,743.0,304.0,274.0,387.0,1786.0,507.0,304.0,3105.0,12.0,7.0,336.0,16.0,11
New York Jets,280.0,280.0,493.0,2158.0,480.0,266.0,2932.0,22.0,7.0,338.0,837.0,729.1999999999999,387.0,293.0,421.0,1412.0,586.0,345.0,3947.0,13.0,2.0,242.0,10.0,11
Oakland Raiders,303.0,275.0,436.0,2004.0,519.0,298.0,3336.0,20.0,11.0,293.0,912.0,775.3999999999999,453.0,330.0,442.0,1727.0,549.0,374.0,4092.0,9.0,13.0,260.0,19.0,4
Philadelphia Eagles,412.0,355.0,500.0,2566.0,508.0,310.0,4110.0,9.0,10.0,296.0,846.0,712.5,382.0,368.0,443.0,1671.0,670.0,408.0,4636.0,19.0,12.0,271.0,30.0,12
Pittsburgh Steelers,369.0,312.0,394.0,1383.0,586.0,377.0,4017.0,14.0,10.0,289.0,677.0,661.3999999999999,370.0,302.0,433.0,1849.0,569.0,329.0,3546.0,10.0,10.0,205.0,10.0,7
San Diego Chargers,363.0,373.0,486.0,1965.0,544.0,378.0,4328.0,11.0,10.0,150.0,765.0,673.2,348.0,326.0,376.0,1725.0,548.0,364.0,4139.0,11.0,8.0,248.0,33.0,7
Seattle Seahawks,388.0,307.0,509.0,2188.0,420.0,267.0,3236.0,9.0,10.0,272.0,1183.0,680.5,231.0,282.0,422.0,1626.0,524.0,309.0,2752.0,28.0,11.0,298.0,29.0,8
San Francisco 49ers,403.0,286.0,505.0,2201.0,417.0,244.0,2979.0,8.0,10.0,231.0,845.0,782.3999999999999,272.0,285.0,397.0,1535.0,585.0,345.0,3536.0,18.0,12.0,283.0,3.0,14
St Louis Rams,324.0,282.0,426.0,1752.0,506.0,301.0,3125.0,11.0,10.0,235.0,1009.0,742.8000000000001,364.0,338.0,440.0,1646.0,521.0,355.0,3874.0,14.0,15.0,326.0,24.0,9
Tampa Bay Buccaneers,274.0,269.0,420.0,1612.0,514.0,291.0,2820.0,12.0,9.0,361.0,1136.0,711.0000000000001,389.0,323.0,438.0,1762.0,547.0,352.0,3806.0,21.0,10.0,255.0,14.0,5
Tennessee Titans,338.0,310.0,462.0,1894.0,533.0,328.0,3496.0,16.0,9.0,214.0,900.0,695.1000000000001,381.0,330.0,446.0,1795.0,545.0,344.0,3612.0,13.0,12.0,227.0,24.0,6
Washington Redskins,314.0,330.0,453.0,2164.0,611.0,355.0,3751.0,19.0,15.0,306.0,802.0,684.3,478.0,330.0,443.0,1769.0,514.0,337.0,3896.0,16.0,9.0,238.0,20.0,5
Cincinnati Bengals,410.0,330.0,481.0,1755.0,587.0,364.0,4139.0,20.0,10.0,182.0,1000.0,709.9000000000001,305.0,282.0,385.0,1544.0,614.0,362.0,3344.0,20.0,11.0,279.0,20.0,10
Houston Texans,246.0,307.0,414.0,1743.0,633.0,371.0,3813.0,22.0,9.0,370.0,1138.0,751.3000000000001,428.0,282.0,454.0,1958.0,484.0,287.0,3123.0,7.0,4.0,187.0,30.0,5
