TeamName,ScoreOff,FirstDown,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,SackYdsOff,PenYdsOff,PuntAvgOff,ScoreDef,FirstDownDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,SackYdsDef,PenYdsDef,Wins
Arizona Cardinals,225.0,256.0,404.0,1537.0,534.0,303.0,3270.0,22.0,14.0,305.0,761.0,679.0999999999999,452.0,326.0,476.0,1914.0,497.0,311.0,3686.0,13.0,10.0,96.0,0.0,7
Atlanta Falcons,268.0,252.0,435.0,1949.0,460.0,230.0,2612.0,21.0,10.0,223.0,790.0,640.2,422.0,333.0,499.0,2309.0,508.0,323.0,4005.0,15.0,16.0,205.0,31.0,6
Baltimore Ravens,358.0,259.0,552.0,2663.0,415.0,217.0,2517.0,19.0,19.0,264.0,970.0,652.3000000000001,281.0,248.0,447.0,1546.0,531.0,296.0,3158.0,24.0,17.0,363.0,33.0,8
Buffalo Bills,205.0,268.0,427.0,1661.0,502.0,293.0,3069.0,17.0,17.0,385.0,891.0,717.2999999999998,279.0,270.0,463.0,1604.0,509.0,286.0,2940.0,10.0,8.0,231.0,38.0,7
Carolina Panthers,313.0,284.0,522.0,2095.0,461.0,271.0,3238.0,16.0,15.0,192.0,967.0,696.5999999999999,304.0,274.0,435.0,1721.0,523.0,299.0,3215.0,16.0,10.0,211.0,12.0,9
Chicago Bears,270.0,264.0,443.0,1763.0,515.0,271.0,2905.0,20.0,9.0,288.0,810.0,650.3000000000001,346.0,289.0,449.0,1875.0,525.0,325.0,3183.0,15.0,4.0,111.0,13.0,6
Cleveland Browns,241.0,276.0,412.0,1670.0,509.0,313.0,3116.0,18.0,15.0,282.0,767.0,671.5,322.0,283.0,458.0,2106.0,502.0,297.0,3049.0,15.0,7.0,201.0,13.0,5
Dallas Cowboys,254.0,286.0,515.0,1999.0,511.0,294.0,3322.0,21.0,8.0,185.0,837.0,626.5000000000001,260.0,228.0,410.0,1429.0,493.0,240.0,2819.0,13.0,12.0,201.0,35.0,6
Denver Broncos,344.0,334.0,543.0,2629.0,479.0,280.0,3127.0,18.0,6.0,157.0,922.0,620.5,301.0,241.0,379.0,1605.0,495.0,265.0,3048.0,9.0,11.0,221.0,37.0,9
Detroit Lions,264.0,250.0,374.0,1350.0,588.0,319.0,2988.0,24.0,4.0,76.0,859.0,625.6,379.0,298.0,448.0,1775.0,522.0,331.0,3765.0,15.0,13.0,182.0,6.0,8
Green Bay Packers,370.0,292.0,470.0,2402.0,444.0,288.0,2978.0,21.0,11.0,132.0,629.0,619.8,300.0,270.0,396.0,1603.0,548.0,304.0,3377.0,19.0,11.0,177.0,31.0,8
New York Giants,211.0,300.0,387.0,1558.0,616.0,344.0,3633.0,20.0,18.0,259.0,1085.0,639.5,387.0,314.0,495.0,1912.0,519.0,309.0,3685.0,10.0,12.0,302.0,32.0,10
Indianapolis Colts,414.0,348.0,451.0,1696.0,569.0,381.0,4289.0,10.0,10.0,113.0,660.0,661.3,336.0,279.0,437.0,1980.0,445.0,277.0,3034.0,15.0,15.0,225.0,33.0,10
Jacksonville Jaguars,259.0,305.0,481.0,2073.0,516.0,303.0,3421.0,18.0,13.0,132.0,895.0,658.7,331.0,276.0,443.0,1406.0,510.0,303.0,3385.0,15.0,12.0,134.0,17.0,6
Kansas City Chiefs,443.0,348.0,447.0,1921.0,536.0,339.0,4101.0,12.0,6.0,130.0,698.0,638.4000000000001,332.0,322.0,453.0,2344.0,565.0,332.0,3590.0,25.0,12.0,251.0,41.0,12
