TeamName,ScoreOff,FirstDown,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,SackYdsOff,PenYdsOff,PuntAvgOff,ScoreDef,FirstDownDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,SackYdsDef,PenYdsDef,Wins
Arizona Cardinals,396.0,328.0,340.0,1178.0,630.0,418.0,4875.0,15.0,15.0,201.0,781.0,670.85666667,426.0,312.0,445.0,1764.0,518.0,323.0,3731.0,13.0,17.0,191.0,31.0,10
Atlanta Falcons,382.0,313.0,560.0,2443.0,434.0,265.0,3440.0,11.0,10.0,104.0,591.0,621.7354762000001,325.0,309.0,415.0,2040.0,549.0,325.0,3771.0,10.0,8.0,245.0,9.0,13
Baltimore Ravens,357.0,300.0,592.0,2376.0,433.0,261.0,3085.0,12.0,9.0,277.0,785.0,721.28571427,244.0,228.0,366.0,1302.0,528.0,276.0,3132.0,26.0,8.0,257.0,28.0,10
Buffalo Bills,316.0,287.0,439.0,1842.0,479.0,309.0,3302.0,15.0,15.0,262.0,538.0,698.03333334,342.0,293.0,455.0,1946.0,492.0,301.0,3441.0,10.0,13.0,170.0,20.0,9
Carolina Panthers,394.0,287.0,504.0,2437.0,414.0,246.0,3288.0,12.0,7.0,130.0,637.0,674.695,329.0,296.0,432.0,1912.0,557.0,333.0,3617.0,12.0,13.0,230.0,20.0,10
Chicago Bears,358.0,264.0,434.0,1673.0,528.0,304.0,3229.0,14.0,13.0,168.0,610.0,663.07234128,350.0,314.0,437.0,1496.0,622.0,383.0,4076.0,22.0,10.0,217.0,17.0,7
Cleveland Browns,191.0,213.0,378.0,1460.0,459.0,220.0,2231.0,20.0,6.0,160.0,614.0,690.5517857,336.0,292.0,516.0,2250.0,418.0,268.0,3167.0,20.0,8.0,86.0,6.0,7
Dallas Cowboys,321.0,291.0,401.0,1723.0,547.0,328.0,3988.0,20.0,13.0,199.0,957.0,706.7826190500001,365.0,276.0,402.0,1706.0,508.0,308.0,3377.0,8.0,14.0,374.0,41.0,7
Denver Broncos,308.0,327.0,360.0,1681.0,575.0,361.0,4186.0,17.0,11.0,66.0,677.0,685.7583333399999,418.0,307.0,443.0,2250.0,470.0,316.0,3604.0,6.0,7.0,136.0,39.0,9
Detroit Lions,243.0,234.0,352.0,1332.0,509.0,281.0,3299.0,19.0,10.0,339.0,729.0,709.3950793600001,517.0,350.0,536.0,2754.0,443.0,303.0,3907.0,4.0,16.0,191.0,25.0,2
Green Bay Packers,371.0,299.0,437.0,1805.0,541.0,343.0,4044.0,13.0,8.0,231.0,984.0,669.11666666,380.0,295.0,458.0,2105.0,518.0,287.0,3384.0,22.0,6.0,140.0,48.0,6
New York Giants,386.0,338.0,502.0,2518.0,491.0,298.0,3353.0,10.0,3.0,176.0,821.0,702.5576190400001,294.0,268.0,386.0,1533.0,503.0,296.0,3427.0,17.0,5.0,288.0,41.0,10
Indianapolis Colts,359.0,321.0,370.0,1274.0,585.0,393.0,4180.0,12.0,5.0,86.0,619.0,714.9523809399999,298.0,305.0,471.0,1967.0,481.0,329.0,3209.0,15.0,11.0,201.0,18.0,11
Jacksonville Jaguars,286.0,312.0,426.0,1774.0,537.0,335.0,3620.0,13.0,11.0,288.0,813.0,712.0866666700001,367.0,289.0,428.0,1709.0,465.0,297.0,3777.0,13.0,4.0,191.0,16.0,6
