TeamName,ScoreOff,FirstDown,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,SackYdsOff,PenYdsOff,PuntAvgOff,ScoreDef,FirstDownDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,SackYdsDef,PenYdsDef,Wins
Arizona Cardinals,238.0,274.0,414.0,1816.0,548.0,293.0,3045.0,22.0,13.0,298.0,617.0,692.0,417.0,335.0,490.0,2147.0,535.0,335.0,4005.0,17.0,8.0,131.0,24.0,6
Atlanta Falcons,389.0,316.0,522.0,2387.0,479.0,268.0,3384.0,12.0,15.0,237.0,922.0,663.0,314.0,288.0,441.0,2047.0,514.0,285.0,3588.0,24.0,15.0,299.0,13.0,10
Baltimore Ravens,316.0,261.0,427.0,1792.0,479.0,262.0,3118.0,14.0,18.0,271.0,846.0,640.0,354.0,316.0,470.0,1769.0,573.0,360.0,3823.0,25.0,6.0,239.0,0.0,9
Buffalo Bills,334.0,355.0,388.0,1596.0,612.0,377.0,4364.0,15.0,16.0,369.0,1031.0,668.0,397.0,303.0,472.0,2061.0,496.0,282.0,3324.0,10.0,9.0,212.0,45.0,8
Carolina Panthers,227.0,238.0,453.0,1593.0,464.0,255.0,2981.0,22.0,18.0,293.0,785.0,718.0,302.0,271.0,447.0,1654.0,522.0,293.0,3329.0,17.0,16.0,337.0,31.0,4
Chicago Bears,267.0,260.0,383.0,1344.0,544.0,311.0,3316.0,18.0,18.0,265.0,864.0,678.0,379.0,328.0,503.0,2077.0,549.0,335.0,3782.0,9.0,20.0,259.0,14.0,6
Cleveland Browns,324.0,279.0,406.0,1593.0,553.0,339.0,3674.0,22.0,9.0,244.0,845.0,650.0,320.0,291.0,482.0,2084.0,513.0,299.0,3441.0,17.0,12.0,178.0,20.0,10
Dallas Cowboys,196.0,237.0,422.0,1753.0,471.0,252.0,2992.0,16.0,18.0,394.0,974.0,653.0,329.0,291.0,481.0,1815.0,574.0,334.0,3575.0,19.0,11.0,143.0,21.0,8
Denver Broncos,368.0,357.0,458.0,2266.0,554.0,359.0,4139.0,20.0,7.0,315.0,877.0,645.0,344.0,298.0,378.0,1498.0,566.0,360.0,3588.0,9.0,13.0,260.0,24.0,6
Detroit Lions,299.0,242.0,358.0,1477.0,578.0,277.0,3168.0,25.0,6.0,174.0,916.0,676.0,451.0,360.0,494.0,1967.0,591.0,371.0,4404.0,10.0,14.0,250.0,7.0,4
Green Bay Packers,378.0,318.0,451.0,1933.0,580.0,361.0,3823.0,16.0,13.0,196.0,913.0,659.0,328.0,295.0,413.0,1998.0,531.0,287.0,3228.0,24.0,22.0,241.0,20.0,12
New York Giants,294.0,323.0,484.0,1874.0,550.0,338.0,4103.0,14.0,13.0,158.0,955.0,600.0,279.0,266.0,407.0,1830.0,541.0,311.0,3369.0,11.0,14.0,250.0,26.0,10
Indianapolis Colts,336.0,324.0,434.0,1561.0,591.0,392.0,4199.0,19.0,13.0,145.0,730.0,642.0,313.0,279.0,460.0,1983.0,468.0,288.0,3160.0,10.0,17.0,234.0,13.0,7
Jacksonville Jaguars,305.0,275.0,455.0,2089.0,462.0,268.0,3019.0,9.0,6.0,257.0,685.0,704.0,315.0,324.0,487.0,2071.0,519.0,314.0,3488.0,14.0,13.0,224.0,23.0,4
Kansas City Chiefs,451.0,343.0,462.0,2378.0,477.0,292.0,3763.0,13.0,2.0,141.0,700.0,589.0,399.0,367.0,431.0,2058.0,617.0,404.0,4404.0,18.0,13.0,214.0,16.0,8
Miami Dolphins,357.0,318.0,528.0,2518.0,455.0,271.0,3069.0,15.0,15.0,195.0,861.0,649.0,301.0,285.0,408.0,1554.0,520.0,294.0,3429.0,21.0,9.0,327.0,21.0,7
Minnesota Vikings,351.0,350.0,472.0,2501.0,561.0,338.0,3957.0,23.0,18.0,264.0,1139.0,627.0,442.0,315.0,394.0,1666.0,542.0,335.0,4300.0,16.0,7.0,197.0,39.0,6
