TeamName,ScoreOff,FirstDown,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,SackYdsOff,PenYdsOff,PuntAvgOff,ScoreDef,FirstDownDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,SackYdsDef,PenYdsDef,Wins
Arizona Cardinals,304.0,298.0,421.0,1338.0,544.0,321.0,3909.0,17.0,13.0,257.0,937.0,661.7999999999998,389.0,331.0,459.0,1893.0,522.0,321.0,3919.0,16.0,17.0,238.0,10.0,6
Atlanta Falcons,278.0,287.0,537.0,2939.0,403.0,215.0,2682.0,15.0,5.0,311.0,877.0,670.0,328.0,313.0,443.0,1662.0,511.0,319.0,3898.0,12.0,13.0,235.0,14.0,6
Baltimore Ravens,325.0,283.0,476.0,1637.0,524.0,328.0,3535.0,14.0,9.0,100.0,878.0,682.1999999999999,201.0,237.0,368.0,1213.0,509.0,279.0,3407.0,28.0,12.0,418.0,28.0,12
Buffalo Bills,284.0,234.0,420.0,1552.0,432.0,269.0,3027.0,14.0,14.0,332.0,629.0,701.9,311.0,298.0,479.0,2252.0,513.0,324.0,3284.0,13.0,11.0,261.0,16.0,9
Carolina Panthers,257.0,278.0,423.0,1659.0,539.0,325.0,3486.0,17.0,10.0,222.0,744.0,719.1999999999998,305.0,267.0,449.0,1737.0,500.0,291.0,3265.0,14.0,7.0,265.0,13.0,8
Chicago Bears,393.0,300.0,504.0,1913.0,514.0,282.0,3437.0,22.0,14.0,164.0,923.0,706.4000000000001,255.0,258.0,403.0,1595.0,582.0,330.0,3392.0,23.0,21.0,272.0,34.0,11
Cleveland Browns,221.0,250.0,373.0,1340.0,510.0,317.0,3242.0,25.0,17.0,349.0,687.0,687.7,356.0,303.0,511.0,2278.0,500.0,284.0,3385.0,18.0,9.0,148.0,17.0,8
Dallas Cowboys,398.0,336.0,473.0,1936.0,506.0,310.0,4067.0,21.0,9.0,231.0,939.0,759.0,350.0,294.0,429.0,1659.0,512.0,301.0,3729.0,18.0,13.0,223.0,27.0,9
Denver Broncos,310.0,285.0,488.0,2152.0,454.0,256.0,2975.0,18.0,12.0,196.0,478.0,670.6,305.0,291.0,445.0,1817.0,538.0,327.0,3586.0,17.0,13.0,209.0,9.0,5
Detroit Lions,298.0,290.0,304.0,1126.0,596.0,372.0,4208.0,22.0,17.0,388.0,939.0,715.6,398.0,319.0,493.0,2005.0,511.0,339.0,3721.0,12.0,18.0,196.0,7.0,5
Green Bay Packers,275.0,301.0,431.0,1662.0,630.0,350.0,3938.0,18.0,15.0,157.0,689.0,713.8000000000001,367.0,291.0,441.0,1825.0,515.0,286.0,3633.0,23.0,10.0,337.0,27.0,7
New York Giants,325.0,304.0,455.0,2156.0,523.0,301.0,3244.0,18.0,10.0,186.0,881.0,647.8000000000001,362.0,314.0,458.0,1830.0,567.0,333.0,3830.0,17.0,11.0,181.0,30.0,7
Indianapolis Colts,384.0,376.0,439.0,1762.0,557.0,362.0,4397.0,9.0,10.0,89.0,718.0,701.9,360.0,325.0,519.0,2768.0,416.0,267.0,2699.0,15.0,11.0,157.0,43.0,12
Jacksonville Jaguars,362.0,293.0,511.0,2551.0,447.0,267.0,3059.0,14.0,9.0,187.0,810.0,621.3,274.0,259.0,420.0,1460.0,523.0,294.0,3278.0,20.0,4.0,200.0,9.0,7
Kansas City Chiefs,325.0,310.0,513.0,2143.0,450.0,272.0,3243.0,12.0,14.0,243.0,577.0,704.8000000000001,315.0,298.0,461.0,1929.0,506.0,314.0,3524.0,15.0,15.0,191.0,6.0,10
Miami Dolphins,254.0,278.0,404.0,1663.0,591.0,342.0,3571.0,19.0,6.0,283.0,789.0,672.1000000000001,283.0,267.0,461.0,1615.0,497.0,279.0,3275.0,8.0,19.0,268.0,6.0,7
Minnesota Vikings,266.0,272.0,444.0,1822.0,540.0,332.0,3402.0,20.0,12.0,279.0,903.0,677.6,327.0,271.0,349.0,975.0,599.0,355.0,4013.0,21.0,15.0,190.0,16.0,7
New England Patriots,361.0,330.0,498.0,1967.0,528.0,327.0,3594.0,12.0,15.0,190.0,940.0,669.6,237.0,265.0,389.0,1505.0,518.0,294.0,3485.0,22.0,12.0,280.0,24.0,10
New Orleans Saints,379.0,330.0,471.0,1758.0,581.0,373.0,4632.0,13.0,10.0,123.0,597.0,699.9999999999999,322.0,262.0,418.0,2063.0,474.0,267.0,3122.0,11.0,8.0,268.0,34.0,8
New York Jets,299.0,289.0,492.0,1739.0,488.0,313.0,3352.0,16.0,9.0,199.0,560.0,702.8,295.0,312.0,452.0,2082.0,533.0,317.0,3452.0,16.0,9.0,230.0,17.0,9
Oakland Raiders,162.0,243.0,394.0,1519.0,483.0,263.0,2850.0,24.0,22.0,430.0,847.0,745.6,332.0,267.0,542.0,2144.0,410.0,245.0,2631.0,18.0,5.0,218.0,6.0,5
Philadelphia Eagles,374.0,311.0,416.0,1984.0,541.0,322.0,4274.0,9.0,14.0,190.0,983.0,678.3999999999999,328.0,313.0,489.0,2181.0,511.0,301.0,3367.0,19.0,10.0,300.0,24.0,8
Pittsburgh Steelers,353.0,327.0,469.0,1989.0,523.0,312.0,4026.0,23.0,14.0,293.0,611.0,653.1999999999999,315.0,269.0,408.0,1416.0,529.0,319.0,3619.0,20.0,9.0,226.0,0.0,6
San Diego Chargers,452.0,321.0,522.0,2582.0,466.0,287.0,3394.0,9.0,6.0,154.0,790.0,678.6,303.0,285.0,388.0,1614.0,536.0,306.0,3548.0,16.0,12.0,347.0,40.0,12
Seattle Seahawks,314.0,312.0,485.0,1920.0,512.0,292.0,3369.0,22.0,12.0,312.0,700.0,710.1999999999999,341.0,277.0,440.0,2029.0,504.0,299.0,3538.0,12.0,14.0,288.0,21.0,9
San Francisco 49ers,278.0,243.0,436.0,2179.0,445.0,259.0,2875.0,15.0,17.0,209.0,818.0,698.8999999999999,412.0,326.0,473.0,1936.0,518.0,331.0,3797.0,14.0,13.0,246.0,20.0,7
St Louis Rams,355.0,332.0,424.0,1805.0,592.0,371.0,4328.0,8.0,10.0,366.0,960.0,674.4,382.0,313.0,477.0,2327.0,451.0,266.0,3249.0,17.0,15.0,214.0,13.0,8
Tampa Bay Buccaneers,208.0,237.0,404.0,1523.0,535.0,296.0,2994.0,18.0,13.0,196.0,732.0,696.4999999999999,353.0,301.0,496.0,1922.0,493.0,301.0,3520.0,11.0,9.0,171.0,3.0,8
Tennessee Titans,317.0,261.0,468.0,2215.0,446.0,226.0,2748.0,19.0,7.0,153.0,803.0,673.2999999999998,400.0,329.0,506.0,2322.0,530.0,335.0,3750.0,17.0,11.0,157.0,7.0,10
Washington Redskins,297.0,294.0,489.0,2221.0,471.0,274.0,3174.0,10.0,7.0,152.0,951.0,686.6,376.0,300.0,490.0,2199.0,487.0,290.0,3550.0,6.0,6.0,96.0,10.0,7
Cincinnati Bengals,339.0,315.0,434.0,1635.0,523.0,327.0,4067.0,13.0,11.0,240.0,717.0,670.1999999999999,331.0,338.0,448.0,1863.0,556.0,350.0,4028.0,19.0,12.0,211.0,34.0,7
Houston Texans,243.0,282.0,432.0,1685.0,481.0,329.0,3030.0,13.0,12.0,251.0,748.0,661.7,366.0,309.0,446.0,1956.0,504.0,328.0,3635.0,11.0,11.0,191.0,24.0,6
