TeamName,ScoreOff,FirstDown,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,SackYdsOff,PenYdsOff,PuntAvgOff,ScoreDef,FirstDownDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,SackYdsDef,PenYdsDef,Wins
Arizona Cardinals,282.0,242.0,320.0,1388.0,561.0,285.0,2921.0,19.0,16.0,343.0,870.0,690.3,434.0,339.0,526.0,2323.0,533.0,324.0,3654.0,17.0,13.0,227.0,7.0,9
Atlanta Falcons,373.0,354.0,497.0,1891.0,577.0,361.0,3567.0,9.0,8.0,158.0,598.0,647.8,288.0,285.0,366.0,1694.0,560.0,364.0,3625.0,22.0,9.0,221.0,41.0,13
Baltimore Ravens,321.0,279.0,448.0,1685.0,463.0,287.0,3079.0,10.0,10.0,271.0,633.0,658.5000000000001,260.0,268.0,367.0,1430.0,562.0,327.0,3375.0,16.0,8.0,175.0,10.0,9
Buffalo Bills,276.0,262.0,401.0,1720.0,519.0,296.0,3158.0,21.0,18.0,213.0,633.0,662.4999999999999,425.0,334.0,571.0,2714.0,473.0,294.0,3072.0,11.0,11.0,181.0,7.0,5
Carolina Panthers,189.0,226.0,428.0,1846.0,484.0,256.0,2289.0,21.0,16.0,346.0,918.0,681.3,408.0,328.0,503.0,1981.0,526.0,326.0,3393.0,17.0,12.0,224.0,7.0,6
Chicago Bears,307.0,262.0,414.0,1616.0,466.0,276.0,3015.0,21.0,10.0,382.0,768.0,649.6,286.0,282.0,386.0,1441.0,582.0,363.0,3588.0,21.0,14.0,232.0,27.0,13
Cleveland Browns,257.0,266.0,413.0,1646.0,478.0,296.0,2989.0,18.0,11.0,214.0,675.0,691.9000000000001,332.0,317.0,505.0,2070.0,507.0,309.0,3531.0,19.0,9.0,178.0,14.0,7
Dallas Cowboys,374.0,326.0,428.0,1786.0,576.0,379.0,4042.0,19.0,11.0,166.0,863.0,763.3,436.0,309.0,401.0,1737.0,540.0,348.0,3891.0,20.0,10.0,260.0,20.0,8
Denver Broncos,313.0,309.0,398.0,1544.0,580.0,334.0,4037.0,12.0,15.0,270.0,944.0,725.9,471.0,334.0,531.0,2473.0,502.0,297.0,3780.0,10.0,8.0,156.0,31.0,5
Detroit Lions,330.0,304.0,404.0,1613.0,633.0,383.0,3810.0,16.0,9.0,191.0,1018.0,707.6999999999998,369.0,320.0,443.0,1999.0,518.0,330.0,3498.0,14.0,15.0,288.0,32.0,5
