TeamName,ScoreOff,FirstDown,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,SackYdsOff,PenYdsOff,PuntAvgOff,ScoreDef,FirstDownDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,SackYdsDef,PenYdsDef,Wins
Arizona Cardinals,178.0,253.0,342.0,1284.0,554.0,316.0,3478.0,24.0,20.0,239.0,756.0,710.0,443.0,344.0,580.0,2609.0,458.0,295.0,3263.0,10.0,10.0,126.0,32.0,9
Atlanta Falcons,238.0,256.0,350.0,1214.0,515.0,285.0,3166.0,20.0,14.0,386.0,720.0,654.0,413.0,308.0,453.0,1983.0,515.0,306.0,3766.0,15.0,10.0,142.0,14.0,7
Baltimore Ravens,355.0,319.0,619.0,2480.0,553.0,309.0,3539.0,20.0,8.0,349.0,905.0,741.0,181.0,260.0,430.0,1162.0,650.0,357.0,3735.0,29.0,27.0,245.0,39.0,12
Buffalo Bills,288.0,309.0,476.0,1921.0,546.0,312.0,3936.0,10.0,12.0,359.0,913.0,610.0,350.0,252.0,444.0,1559.0,480.0,283.0,3175.0,16.0,13.0,308.0,27.0,8
Carolina Panthers,272.0,304.0,363.0,1186.0,566.0,340.0,3850.0,19.0,16.0,382.0,683.0,607.0,310.0,304.0,425.0,1949.0,552.0,352.0,3938.0,17.0,21.0,231.0,38.0,7
Chicago Bears,216.0,238.0,416.0,1736.0,542.0,304.0,3005.0,16.0,13.0,206.0,696.0,593.0,355.0,297.0,469.0,1828.0,530.0,332.0,3635.0,11.0,9.0,231.0,0.0,9
Cleveland Browns,137.0,177.0,336.0,1085.0,483.0,278.0,2729.0,19.0,9.0,283.0,925.0,730.0,419.0,343.0,592.0,2487.0,487.0,265.0,3432.0,11.0,14.0,276.0,24.0,6
Dallas Cowboys,263.0,276.0,463.0,1953.0,446.0,256.0,2765.0,21.0,18.0,249.0,963.0,642.0,330.0,309.0,537.0,2637.0,458.0,277.0,2868.0,17.0,9.0,187.0,31.0,4
Denver Broncos,446.0,392.0,533.0,2368.0,607.0,372.0,4609.0,13.0,13.0,266.0,825.0,642.0,390.0,307.0,382.0,1720.0,589.0,319.0,4319.0,27.0,17.0,263.0,42.0,11
Detroit Lions,292.0,264.0,448.0,1747.0,503.0,277.0,2992.0,19.0,12.0,317.0,767.0,681.0,307.0,279.0,421.0,1823.0,544.0,311.0,3372.0,25.0,17.0,162.0,15.0,8
Green Bay Packers,335.0,315.0,403.0,1648.0,600.0,348.0,3916.0,16.0,17.0,243.0,705.0,626.0,323.0,275.0,417.0,1618.0,557.0,307.0,3695.0,21.0,7.0,244.0,18.0,7
New York Giants,356.0,355.0,590.0,2265.0,588.0,352.0,4118.0,15.0,14.0,254.0,882.0,691.0,256.0,294.0,381.0,1256.0,655.0,360.0,3928.0,24.0,15.0,344.0,33.0,10
