TeamName,ScoreOff,FirstDown,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,SackYdsOff,PenYdsOff,PuntAvgOff,ScoreDef,FirstDownDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,SackYdsDef,PenYdsDef,Wins
Arizona Cardinals,230.0,246.0,352.0,1204.0,608.0,337.0,3005.0,21.0,13.0,378.0,857.0,746.1999999999999,357.0,288.0,506.0,2192.0,497.0,270.0,3213.0,22.0,11.0,228.0,20.0,6
Atlanta Falcons,392.0,342.0,378.0,1397.0,615.0,422.0,4509.0,14.0,4.0,210.0,415.0,762.6,299.0,298.0,411.0,1971.0,551.0,337.0,3878.0,20.0,11.0,182.0,27.0,12
Baltimore Ravens,375.0,314.0,444.0,1901.0,560.0,334.0,3739.0,11.0,5.0,257.0,1127.0,764.1,344.0,326.0,492.0,1965.0,557.0,335.0,3650.0,13.0,12.0,250.0,23.0,10
Buffalo Bills,309.0,301.0,442.0,2217.0,511.0,309.0,3269.0,17.0,17.0,161.0,871.0,690.0999999999999,435.0,349.0,470.0,2333.0,536.0,306.0,3473.0,12.0,9.0,196.0,35.0,6
Carolina Panthers,322.0,328.0,462.0,2088.0,490.0,284.0,3683.0,12.0,10.0,244.0,835.0,679.0,363.0,326.0,416.0,1761.0,555.0,371.0,3568.0,11.0,12.0,284.0,35.0,6
Chicago Bears,365.0,291.0,470.0,1970.0,485.0,287.0,2999.0,16.0,8.0,299.0,811.0,670.3,277.0,286.0,388.0,1627.0,592.0,350.0,3423.0,24.0,20.0,289.0,10.0,10
Cleveland Browns,275.0,278.0,396.0,1593.0,566.0,328.0,3435.0,18.0,8.0,233.0,1005.0,668.7,368.0,346.0,457.0,1898.0,600.0,378.0,3923.0,17.0,12.0,233.0,27.0,4
Dallas Cowboys,369.0,338.0,355.0,1265.0,658.0,434.0,4729.0,19.0,10.0,263.0,853.0,714.2,400.0,317.0,441.0,2003.0,511.0,320.0,3684.0,7.0,9.0,211.0,7.0,9
Denver Broncos,423.0,355.0,443.0,1667.0,549.0,372.0,4196.0,11.0,13.0,137.0,775.0,693.3999999999999,283.0,274.0,388.0,1402.0,525.0,302.0,3014.0,16.0,8.0,343.0,21.0,11
Detroit Lions,353.0,382.0,391.0,1613.0,740.0,445.0,4927.0,17.0,16.0,212.0,944.0,663.6999999999999,437.0,306.0,420.0,1889.0,544.0,346.0,3569.0,11.0,6.0,237.0,19.0,5
Green Bay Packers,410.0,341.0,433.0,1702.0,558.0,374.0,4049.0,8.0,8.0,293.0,923.0,688.8,336.0,307.0,418.0,1896.0,568.0,313.0,3492.0,18.0,5.0,309.0,23.0,10
New York Giants,388.0,326.0,409.0,1862.0,539.0,323.0,3825.0,15.0,6.0,142.0,578.0,747.0999999999999,344.0,317.0,449.0,2066.0,534.0,341.0,4068.0,21.0,14.0,231.0,41.0,6
Indianapolis Colts,334.0,360.0,440.0,1671.0,628.0,339.0,4128.0,18.0,9.0,246.0,801.0,762.0000000000001,387.0,325.0,428.0,2200.0,535.0,334.0,3788.0,12.0,3.0,189.0,23.0,12
Jacksonville Jaguars,248.0,269.0,358.0,1369.0,586.0,328.0,3419.0,17.0,9.0,327.0,955.0,769.0999999999999,444.0,365.0,545.0,2256.0,535.0,341.0,3832.0,12.0,11.0,128.0,7.0,4
Kansas City Chiefs,194.0,286.0,500.0,2395.0,475.0,273.0,2713.0,20.0,17.0,224.0,733.0,744.3,425.0,301.0,482.0,2171.0,464.0,279.0,3533.0,7.0,6.0,161.0,17.0,5
Miami Dolphins,253.0,288.0,441.0,1785.0,504.0,293.0,3199.0,13.0,13.0,226.0,724.0,804.0,317.0,320.0,431.0,1734.0,600.0,353.0,3974.0,10.0,6.0,242.0,35.0,5
Minnesota Vikings,359.0,306.0,487.0,2627.0,483.0,300.0,2758.0,12.0,11.0,177.0,830.0,730.5999999999999,348.0,346.0,427.0,1692.0,612.0,391.0,3908.0,10.0,12.0,284.0,20.0,8
New England Patriots,539.0,445.0,523.0,2184.0,641.0,402.0,4662.0,9.0,7.0,182.0,840.0,698.5999999999999,331.0,339.0,415.0,1630.0,594.0,369.0,4342.0,20.0,21.0,213.0,18.0,11
New Orleans Saints,434.0,352.0,370.0,1577.0,671.0,423.0,4997.0,19.0,5.0,190.0,911.0,792.7,454.0,381.0,457.0,2361.0,602.0,370.0,4681.0,15.0,11.0,194.0,27.0,7
New York Jets,271.0,299.0,494.0,1896.0,493.0,272.0,2891.0,19.0,18.0,287.0,708.0,742.1999999999999,375.0,293.0,495.0,2138.0,494.0,266.0,3036.0,11.0,12.0,170.0,10.0,8
Oakland Raiders,277.0,301.0,376.0,1420.0,629.0,376.0,4084.0,16.0,10.0,208.0,939.0,766.2,443.0,304.0,444.0,1897.0,526.0,347.0,3775.0,11.0,8.0,185.0,13.0,6
Philadelphia Eagles,256.0,333.0,413.0,1874.0,618.0,367.0,3791.0,15.0,22.0,284.0,813.0,736.0,444.0,317.0,479.0,2021.0,485.0,292.0,3470.0,8.0,5.0,198.0,24.0,7
Pittsburgh Steelers,309.0,307.0,412.0,1537.0,574.0,354.0,3787.0,14.0,16.0,225.0,938.0,693.0,314.0,274.0,391.0,1450.0,523.0,299.0,2963.0,10.0,10.0,196.0,27.0,8
San Diego Chargers,312.0,293.0,411.0,1461.0,528.0,338.0,3296.0,15.0,11.0,311.0,796.0,767.5999999999999,350.0,317.0,406.0,1542.0,568.0,347.0,3681.0,14.0,14.0,244.0,38.0,9
Seattle Seahawks,385.0,310.0,536.0,2579.0,405.0,259.0,3031.0,10.0,8.0,203.0,890.0,727.0000000000001,245.0,294.0,368.0,1649.0,564.0,327.0,3250.0,18.0,13.0,247.0,27.0,10
San Francisco 49ers,370.0,322.0,492.0,2491.0,436.0,289.0,3298.0,8.0,8.0,253.0,960.0,771.5999999999999,273.0,285.0,407.0,1507.0,567.0,337.0,3203.0,14.0,11.0,270.0,27.0,9
St Louis Rams,268.0,286.0,410.0,1714.0,557.0,332.0,3550.0,14.0,8.0,233.0,978.0,736.1999999999999,348.0,326.0,442.0,1880.0,547.0,362.0,3602.0,17.0,4.0,325.0,31.0,8
Tampa Bay Buccaneers,355.0,301.0,416.0,1837.0,566.0,311.0,3983.0,17.0,6.0,161.0,819.0,717.6,394.0,330.0,376.0,1327.0,627.0,410.0,4751.0,18.0,8.0,200.0,34.0,7
Tennessee Titans,320.0,259.0,378.0,1687.0,540.0,318.0,3323.0,16.0,12.0,254.0,847.0,765.1999999999999,471.0,358.0,483.0,2035.0,564.0,374.0,3964.0,19.0,5.0,241.0,10.0,8
Washington Redskins,408.0,341.0,519.0,2709.0,442.0,291.0,3422.0,8.0,6.0,244.0,985.0,690.2999999999998,388.0,339.0,363.0,1532.0,636.0,393.0,4511.0,21.0,10.0,209.0,28.0,9
Cincinnati Bengals,357.0,291.0,430.0,1745.0,540.0,335.0,3578.0,16.0,10.0,229.0,857.0,736.6,320.0,307.0,423.0,1715.0,560.0,346.0,3400.0,14.0,16.0,361.0,34.0,9
