TeamName,ScoreOff,FirstDown,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,SackYdsOff,PenYdsOff,PuntAvgOff,ScoreDef,FirstDownDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,SackYdsDef,PenYdsDef,Wins
Arizona Cardinals,299.0,304.0,360.0,1138.0,670.0,419.0,4719.0,21.0,16.0,286.0,1185.0,669.5999999999999,387.0,272.0,411.0,1632.0,490.0,303.0,3310.0,15.0,11.0,221.0,12.0,5
Atlanta Falcons,333.0,313.0,530.0,2559.0,451.0,247.0,2907.0,13.0,16.0,237.0,1043.0,668.6,341.0,318.0,438.0,2063.0,526.0,320.0,3394.0,16.0,13.0,257.0,18.0,9
Baltimore Ravens,255.0,286.0,451.0,1611.0,562.0,335.0,3381.0,21.0,15.0,299.0,1067.0,690.1999999999999,299.0,277.0,430.0,1594.0,526.0,296.0,3228.0,12.0,14.0,267.0,10.0,7
Buffalo Bills,268.0,259.0,429.0,1605.0,460.0,270.0,2852.0,16.0,10.0,335.0,897.0,736.2,367.0,343.0,489.0,2205.0,503.0,314.0,3560.0,17.0,13.0,269.0,3.0,7
Carolina Panthers,364.0,278.0,487.0,1679.0,449.0,269.0,3485.0,16.0,10.0,211.0,732.0,678.8999999999999,259.0,262.0,409.0,1472.0,528.0,305.0,3347.0,23.0,19.0,301.0,27.0,10
Chicago Bears,222.0,233.0,488.0,2099.0,418.0,219.0,2201.0,15.0,13.0,199.0,850.0,648.4000000000001,202.0,259.0,444.0,1637.0,550.0,313.0,3147.0,24.0,10.0,275.0,38.0,6
Cleveland Browns,206.0,241.0,394.0,1496.0,498.0,297.0,3323.0,18.0,12.0,271.0,770.0,644.7,301.0,292.0,525.0,2215.0,471.0,279.0,3009.0,15.0,8.0,155.0,26.0,8
Dallas Cowboys,312.0,318.0,521.0,1861.0,500.0,300.0,3639.0,17.0,14.0,298.0,739.0,674.9000000000002,308.0,256.0,414.0,1731.0,496.0,271.0,3319.0,15.0,11.0,236.0,13.0,9
Denver Broncos,375.0,330.0,541.0,2544.0,465.0,279.0,3373.0,7.0,9.0,151.0,756.0,698.6000000000001,258.0,295.0,343.0,1366.0,613.0,344.0,3833.0,20.0,16.0,193.0,20.0,10
Detroit Lions,248.0,258.0,405.0,1471.0,521.0,298.0,3021.0,18.0,12.0,173.0,838.0,700.9000000000001,345.0,308.0,488.0,2040.0,487.0,295.0,3305.0,19.0,12.0,187.0,6.0,7
Green Bay Packers,274.0,312.0,398.0,1352.0,626.0,383.0,3964.0,30.0,15.0,198.0,918.0,636.7,344.0,280.0,503.0,2018.0,430.0,252.0,2876.0,10.0,11.0,200.0,24.0,6
New York Giants,395.0,312.0,470.0,2209.0,559.0,294.0,3762.0,17.0,8.0,184.0,1115.0,673.4000000000001,314.0,302.0,428.0,1656.0,579.0,328.0,3852.0,17.0,20.0,268.0,27.0,10
Indianapolis Colts,429.0,363.0,465.0,1703.0,516.0,348.0,4191.0,11.0,9.0,95.0,690.0,665.8999999999999,247.0,269.0,399.0,1749.0,509.0,343.0,3469.0,18.0,13.0,308.0,10.0,9
Jacksonville Jaguars,358.0,301.0,500.0,1972.0,487.0,283.0,3352.0,6.0,11.0,175.0,1006.0,668.3,269.0,273.0,434.0,1709.0,483.0,285.0,3223.0,20.0,9.0,274.0,3.0,13
