TeamName,ScoreOff,FirstDown,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,SackYdsOff,PenYdsOff,PuntAvgOff,ScoreDef,FirstDownDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,SackYdsDef,PenYdsDef,Wins
Arizona Cardinals,291.0,286.0,389.0,1625.0,550.0,307.0,3567.0,23.0,9.0,387.0,1004.0,717.9999999999999,348.0,333.0,475.0,1986.0,578.0,340.0,3696.0,10.0,9.0,304.0,21.0,9
Atlanta Falcons,367.0,349.0,453.0,1834.0,594.0,365.0,4192.0,13.0,8.0,173.0,769.0,682.5999999999999,350.0,291.0,372.0,1552.0,560.0,340.0,3786.0,19.0,10.0,231.0,35.0,9
Baltimore Ravens,365.0,312.0,459.0,1996.0,544.0,314.0,3423.0,12.0,12.0,206.0,742.0,736.8000000000001,266.0,269.0,419.0,1482.0,535.0,288.0,3140.0,15.0,11.0,290.0,13.0,10
Buffalo Bills,334.0,314.0,391.0,1921.0,578.0,356.0,3703.0,25.0,5.0,154.0,743.0,761.4999999999999,434.0,339.0,467.0,2224.0,507.0,321.0,3714.0,20.0,10.0,210.0,38.0,7
Carolina Panthers,383.0,346.0,445.0,2408.0,519.0,312.0,3829.0,17.0,6.0,260.0,1013.0,676.3,429.0,330.0,451.0,2093.0,490.0,318.0,3949.0,14.0,10.0,170.0,23.0,6
Chicago Bears,340.0,270.0,456.0,2015.0,473.0,268.0,3011.0,20.0,9.0,335.0,800.0,693.1,341.0,291.0,384.0,1542.0,631.0,383.0,4065.0,20.0,11.0,208.0,13.0,9
Cleveland Browns,191.0,278.0,415.0,1531.0,570.0,320.0,3090.0,13.0,6.0,210.0,847.0,643.1,307.0,301.0,534.0,2359.0,469.0,265.0,2959.0,9.0,11.0,199.0,27.0,6
Dallas Cowboys,342.0,326.0,408.0,1807.0,570.0,376.0,4201.0,12.0,9.0,252.0,816.0,718.0999999999999,347.0,306.0,385.0,1585.0,545.0,336.0,3906.0,15.0,10.0,243.0,27.0,8
Denver Broncos,285.0,286.0,546.0,2632.0,429.0,217.0,2434.0,13.0,17.0,274.0,842.0,765.6999999999999,390.0,315.0,488.0,2021.0,534.0,333.0,3704.0,9.0,9.0,283.0,24.0,8
Detroit Lions,426.0,349.0,356.0,1523.0,666.0,423.0,4814.0,16.0,7.0,257.0,1075.0,700.1999999999999,387.0,325.0,410.0,2050.0,604.0,376.0,3831.0,21.0,13.0,271.0,48.0,10
Green Bay Packers,530.0,354.0,395.0,1558.0,552.0,376.0,4924.0,8.0,6.0,237.0,591.0,741.3,359.0,358.0,383.0,1789.0,637.0,390.0,4796.0,31.0,7.0,192.0,30.0,13
New York Giants,366.0,331.0,411.0,1427.0,589.0,359.0,4734.0,16.0,8.0,199.0,795.0,721.3999999999999,400.0,338.0,435.0,1940.0,589.0,361.0,4082.0,20.0,11.0,335.0,28.0,9
