TeamName,ScoreOff,FirstDown,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,SackYdsOff,PenYdsOff,PuntAvgOff,ScoreDef,FirstDownDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,SackYdsDef,PenYdsDef,Wins
Arizona Cardinals,281.0,277.0,400.0,1450.0,527.0,304.0,3653.0,14.0,13.0,210.0,615.0,659.0,343.0,320.0,496.0,2097.0,555.0,337.0,3726.0,17.0,7.0,128.0,14.0,8
Atlanta Falcons,267.0,280.0,436.0,1788.0,485.0,278.0,3695.0,17.0,11.0,403.0,754.0,615.0,377.0,298.0,405.0,1944.0,515.0,331.0,4132.0,18.0,12.0,230.0,24.0,7
Baltimore Ravens,293.0,299.0,483.0,1810.0,557.0,320.0,3595.0,20.0,16.0,281.0,728.0,611.0,265.0,262.0,409.0,1411.0,555.0,321.0,3325.0,16.0,14.0,296.0,10.0,7
Buffalo Bills,239.0,287.0,405.0,1685.0,558.0,327.0,3722.0,20.0,13.0,271.0,954.0,658.0,420.0,302.0,482.0,2118.0,454.0,285.0,3388.0,11.0,8.0,212.0,26.0,6
Carolina Panthers,237.0,236.0,355.0,1372.0,579.0,314.0,3098.0,22.0,13.0,216.0,747.0,749.0,410.0,304.0,521.0,2301.0,510.0,306.0,3809.0,24.0,12.0,167.0,16.0,6
Chicago Bears,321.0,277.0,475.0,1738.0,528.0,315.0,3072.0,16.0,8.0,122.0,622.0,682.0,203.0,277.0,373.0,1318.0,602.0,355.0,3959.0,20.0,17.0,299.0,17.0,13
Cleveland Browns,261.0,238.0,419.0,1342.0,466.0,279.0,3154.0,21.0,12.0,344.0,825.0,678.0,319.0,295.0,493.0,2216.0,552.0,309.0,3377.0,33.0,9.0,296.0,24.0,9
Dallas Cowboys,225.0,247.0,506.0,2179.0,412.0,210.0,2408.0,20.0,14.0,185.0,739.0,620.0,338.0,272.0,472.0,1710.0,491.0,288.0,3024.0,9.0,16.0,130.0,21.0,6
Denver Broncos,302.0,304.0,480.0,1887.0,511.0,312.0,3208.0,19.0,8.0,278.0,917.0,717.0,339.0,292.0,406.0,1479.0,515.0,308.0,3561.0,22.0,15.0,279.0,38.0,6
Detroit Lions,256.0,289.0,351.0,1402.0,609.0,343.0,3969.0,24.0,14.0,377.0,1081.0,692.0,424.0,321.0,470.0,1993.0,515.0,312.0,3752.0,16.0,6.0,224.0,14.0,3
Green Bay Packers,353.0,282.0,409.0,1691.0,511.0,315.0,3923.0,15.0,13.0,149.0,633.0,684.0,266.0,278.0,408.0,1761.0,583.0,341.0,3505.0,20.0,19.0,329.0,37.0,8
New York Giants,281.0,295.0,424.0,1758.0,568.0,328.0,3770.0,15.0,14.0,206.0,905.0,680.0,321.0,268.0,427.0,1541.0,521.0,298.0,3750.0,15.0,13.0,329.0,13.0,6
Indianapolis Colts,371.0,343.0,438.0,1966.0,557.0,349.0,4227.0,23.0,15.0,238.0,723.0,677.0,486.0,323.0,455.0,2112.0,509.0,311.0,3857.0,15.0,9.0,257.0,42.0,7
Jacksonville Jaguars,281.0,288.0,372.0,1600.0,534.0,321.0,3670.0,14.0,14.0,430.0,710.0,707.0,286.0,300.0,469.0,1611.0,544.0,354.0,3757.0,12.0,12.0,298.0,13.0,5
Kansas City Chiefs,317.0,324.0,448.0,2008.0,528.0,300.0,3863.0,24.0,9.0,198.0,602.0,655.0,344.0,296.0,481.0,2131.0,491.0,296.0,3403.0,13.0,13.0,239.0,3.0,8
Miami Dolphins,326.0,263.0,473.0,1665.0,453.0,275.0,3337.0,19.0,18.0,178.0,914.0,651.0,290.0,283.0,452.0,1788.0,467.0,262.0,3059.0,17.0,12.0,239.0,18.0,8
Minnesota Vikings,280.0,288.0,377.0,1602.0,555.0,335.0,3854.0,23.0,16.0,274.0,836.0,670.0,390.0,312.0,477.0,2299.0,478.0,291.0,3571.0,8.0,10.0,204.0,10.0,7
New England Patriots,368.0,292.0,473.0,1793.0,482.0,306.0,3326.0,15.0,13.0,237.0,802.0,658.0,272.0,303.0,428.0,1842.0,548.0,300.0,3743.0,22.0,13.0,240.0,3.0,10
New Orleans Saints,320.0,294.0,419.0,1716.0,562.0,313.0,3844.0,22.0,13.0,334.0,1035.0,671.0,409.0,283.0,443.0,1715.0,452.0,278.0,3678.0,15.0,15.0,323.0,13.0,7
New York Jets,298.0,274.0,444.0,2041.0,465.0,273.0,2881.0,14.0,9.0,136.0,507.0,618.0,295.0,284.0,481.0,2154.0,516.0,313.0,3170.0,20.0,19.0,171.0,10.0,9
Oakland Raiders,384.0,316.0,450.0,1654.0,553.0,364.0,3862.0,9.0,16.0,155.0,897.0,728.0,327.0,296.0,433.0,1988.0,528.0,290.0,3287.0,17.0,7.0,204.0,15.0,9
Philadelphia Eagles,316.0,256.0,410.0,1776.0,522.0,300.0,3427.0,14.0,10.0,287.0,768.0,686.0,208.0,262.0,456.0,1825.0,517.0,288.0,3145.0,14.0,19.0,281.0,27.0,9
Pittsburgh Steelers,332.0,314.0,580.0,2773.0,454.0,274.0,3295.0,12.0,10.0,182.0,737.0,653.0,212.0,254.0,340.0,1195.0,525.0,295.0,3309.0,16.0,13.0,367.0,20.0,8
San Diego Chargers,300.0,290.0,435.0,1695.0,548.0,309.0,3690.0,18.0,11.0,180.0,777.0,679.0,321.0,290.0,448.0,1514.0,535.0,317.0,3618.0,19.0,12.0,228.0,32.0,6
Seattle Seahawks,298.0,274.0,468.0,1944.0,462.0,258.0,3164.0,12.0,9.0,336.0,579.0,701.0,324.0,299.0,426.0,1726.0,563.0,339.0,3733.0,14.0,13.0,252.0,3.0,11
San Francisco 49ers,383.0,328.0,509.0,2253.0,506.0,318.0,3559.0,12.0,7.0,123.0,669.0,643.0,282.0,289.0,389.0,1585.0,566.0,331.0,3593.0,24.0,10.0,225.0,26.0,11
St Louis Rams,473.0,357.0,415.0,2027.0,551.0,379.0,4903.0,22.0,21.0,241.0,847.0,673.0,273.0,256.0,363.0,1402.0,541.0,315.0,3356.0,20.0,14.0,279.0,30.0,13
Tampa Bay Buccaneers,308.0,298.0,406.0,1377.0,594.0,363.0,3621.0,12.0,10.0,304.0,672.0,657.0,280.0,262.0,415.0,1696.0,493.0,273.0,3223.0,28.0,10.0,269.0,16.0,9
Tennessee Titans,330.0,288.0,469.0,1794.0,515.0,307.0,3867.0,17.0,11.0,309.0,1025.0,684.0,388.0,300.0,405.0,1426.0,561.0,329.0,4261.0,13.0,11.0,170.0,6.0,9
Washington Redskins,256.0,241.0,490.0,1937.0,432.0,235.0,2716.0,13.0,15.0,231.0,828.0,680.0,303.0,271.0,483.0,1869.0,473.0,262.0,3116.0,23.0,11.0,139.0,0.0,9
Cincinnati Bengals,205.0,294.0,441.0,1712.0,603.0,322.0,3291.0,26.0,11.0,203.0,870.0,632.0,309.0,281.0,454.0,1668.0,512.0,311.0,3477.0,13.0,16.0,314.0,21.0,8
Houston Texans,0
