TeamName,ScoreOff,FirstDown,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,SackYdsOff,PenYdsOff,PuntAvgOff,ScoreDef,FirstDownDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,SackYdsDef,PenYdsDef,Wins
Arizona Cardinals,344.0,317.0,365.0,1494.0,594.0,392.0,4016.0,18.0,18.0,184.0,886.0,745.4,325.0,290.0,402.0,1804.0,593.0,346.0,3739.0,21.0,8.0,259.0,31.0,11
Atlanta Falcons,335.0,330.0,451.0,1876.0,570.0,332.0,3571.0,17.0,8.0,126.0,664.0,689.0,325.0,302.0,432.0,1709.0,537.0,336.0,3873.0,15.0,13.0,170.0,28.0,8
Baltimore Ravens,360.0,320.0,468.0,2200.0,510.0,321.0,3419.0,13.0,9.0,218.0,1094.0,695.8,261.0,280.0,435.0,1492.0,524.0,306.0,3316.0,22.0,10.0,190.0,31.0,8
Buffalo Bills,225.0,234.0,424.0,1867.0,441.0,256.0,2515.0,19.0,11.0,274.0,855.0,748.4999999999999,328.0,310.0,534.0,2505.0,519.0,295.0,2944.0,28.0,5.0,193.0,33.0,5
Carolina Panthers,295.0,290.0,525.0,2498.0,465.0,264.0,2799.0,20.0,11.0,271.0,698.0,708.7,308.0,290.0,450.0,1997.0,495.0,305.0,3056.0,22.0,15.0,193.0,20.0,8
Chicago Bears,310.0,262.0,373.0,1492.0,563.0,340.0,3473.0,27.0,7.0,204.0,836.0,660.3000000000001,375.0,312.0,467.0,2022.0,531.0,341.0,3382.0,13.0,15.0,272.0,17.0,7
Cleveland Browns,239.0,237.0,498.0,2087.0,443.0,219.0,2076.0,18.0,13.0,179.0,678.0,674.3,375.0,336.0,506.0,2314.0,526.0,313.0,3915.0,10.0,9.0,234.0,6.0,6
Dallas Cowboys,330.0,334.0,436.0,2103.0,550.0,347.0,4287.0,9.0,10.0,196.0,892.0,735.1,250.0,286.0,365.0,1448.0,572.0,344.0,3606.0,11.0,10.0,268.0,31.0,10
Denver Broncos,299.0,306.0,440.0,1836.0,558.0,341.0,3627.0,13.0,10.0,198.0,800.0,714.8000000000001,324.0,290.0,458.0,2059.0,510.0,298.0,2981.0,17.0,13.0,241.0,27.0,5
Detroit Lions,249.0,282.0,409.0,1616.0,585.0,316.0,3168.0,32.0,9.0,303.0,768.0,696.4,494.0,333.0,458.0,2025.0,545.0,371.0,4249.0,9.0,14.0,150.0,13.0,3
Green Bay Packers,437.0,334.0,438.0,1885.0,553.0,357.0,4180.0,8.0,8.0,312.0,1057.0,708.5999999999999,297.0,272.0,371.0,1333.0,540.0,294.0,3218.0,30.0,10.0,232.0,24.0,9
New York Giants,369.0,323.0,443.0,1837.0,542.0,338.0,4019.0,14.0,17.0,227.0,802.0,653.8,427.0,307.0,423.0,1754.0,498.0,314.0,3425.0,13.0,11.0,237.0,33.0,10
Indianapolis Colts,391.0,339.0,366.0,1294.0,601.0,402.0,4515.0,19.0,5.0,90.0,546.0,700.6,307.0,320.0,467.0,2024.0,583.0,372.0,3403.0,16.0,10.0,228.0,27.0,13
Jacksonville Jaguars,273.0,301.0,447.0,2029.0,519.0,315.0,3356.0,10.0,13.0,243.0,542.0,664.2,380.0,307.0,458.0,1863.0,510.0,345.0,3774.0,15.0,10.0,79.0,17.0,9
