TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,Wins
TeamName,0
Akron,311.0,489.0,1890.0,404.0,265.0,2962.0,12.0,14.0,379.0,492.0,2008.0,340.0,214.0,2726.0,9.0,14.0,4,4,4,4,4,4,4,4,4,4,4,4
Ball State,255.0,499.0,1955.0,348.0,199.0,2144.0,16.0,10.0,333.0,440.0,2035.0,390.0,246.0,2834.0,10.0,23.0,7,7,7,7,7,7,7,7,7,7,7,7
Bowling Green,439.0,500.0,2629.0,398.0,227.0,2758.0,11.0,7.0,297.0,469.0,1844.0,398.0,214.0,2537.0,12.0,51.0,9,9,9,9,9,9,9,9,9,9,9,9,9
Connecticut,359.0,450.0,1639.0,392.0,232.0,2671.0,12.0,8.0,270.0,459.0,1868.0,322.0,162.0,1925.0,20.0,14.0,5,5,5,5,5,5,5,5,5,5,5,5
Fresno State,332.0,463.0,1668.0,452.0,250.0,3194.0,14.0,10.0,358.0,537.0,2104.0,433.0,245.0,3214.0,13.0,16.0,7,7,7,7,7,7,7,7,7,7,7,7
Hawaii,442.0,286.0,1467.0,679.0,375.0,5043.0,25.0,13.0,353.0,552.0,2218.0,456.0,233.0,2928.0,18.0,32.0,9,9,9,9,9,9,9,9,9,9,9,9
Indiana,245.0,434.0,1398.0,446.0,228.0,3020.0,21.0,8.0,445.0,522.0,2819.0,335.0,202.0,2322.0,8.0,13.0,4,4,4,4,4,4,4,4,4,4,4,4
Kent State,185.0,485.0,2579.0,278.0,137.0,1442.0,21.0,11.0,424.0,518.0,2452.0,344.0,209.0,2423.0,9.0,17.0,4,4,4,4,4,4,4,4,4,4,4,4
Middle Tennessee,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,312.0,541.0,2559.0,301.0,157.0,2118.0,11.0,10.0,295.0,503.0,2218.0,327.0,185.0,2114.0,4.0,35.0,6,6,6,6,6,6,6,6,6,6,6,6
