TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,Wins
TeamName,0
Akron,190.0,393.0,1421.0,342.0,190.0,2190.0,13.0,11.0,345.0,481.0,2063.0,352.0,214.0,2349.0,13.0,41.0,5,5,5,5,5,5,5,5,5,5,5,5
Ball State,214.0,436.0,1913.0,313.0,160.0,1613.0,14.0,12.0,338.0,462.0,1828.0,369.0,239.0,2812.0,10.0,16.0,2,2,2,2,2,2,2,2,2,2,2,2
Bowling Green,308.0,336.0,975.0,548.0,347.0,3722.0,6.0,8.0,314.0,433.0,2313.0,361.0,212.0,2412.0,9.0,20.0,7,7,7,7,7,7,7,7,7,7,7,7,7
Connecticut,375.0,480.0,2073.0,353.0,205.0,2708.0,13.0,8.0,300.0,432.0,1651.0,366.0,244.0,2938.0,11.0,10.0,7,7,7,7,7,7,7,7,7,7,7,7
Fresno State,381.0,511.0,2779.0,301.0,180.0,2452.0,11.0,12.0,334.0,413.0,2549.0,333.0,184.0,2391.0,7.0,31.0,8,8,8,8,8,8,8,8,8,8,8,8
Hawaii,258.0,292.0,1306.0,569.0,339.0,4381.0,17.0,16.0,383.0,537.0,2624.0,334.0,214.0,2635.0,12.0,38.0,7,7,7,7,7,7,7,7,7,7,7,7
Indiana,259.0,369.0,1405.0,440.0,272.0,2975.0,15.0,7.0,354.0,474.0,1909.0,362.0,220.0,2903.0,16.0,23.0,5,5,5,5,5,5,5,5,5,5,5,5
Kent State,224.0,393.0,1375.0,393.0,217.0,2557.0,16.0,12.0,269.0,452.0,1645.0,409.0,232.0,2627.0,15.0,7.0,5,5,5,5,5,5,5,5,5,5,5,5
Middle Tennessee,343.0,475.0,2175.0,408.0,221.0,2857.0,15.0,5.0,276.0,475.0,1655.0,406.0,223.0,2564.0,17.0,31.0,11,11,11,11,11,11,11,11,11,11,11,11
Minnesota,239.0,398.0,1171.0,350.0,179.0,2379.0,15.0,12.0,295.0,469.0,1760.0,375.0,214.0,2611.0,10.0,20.0,7,7,7,7,7,7,7,7,7,7,7,7
Mississippi,311.0,453.0,2194.0,347.0,190.0,2673.0,17.0,9.0,223.0,442.0,1684.0,364.0,184.0,2148.0,9.0,52.0,7,7,7,7,7,7,7,7,7,7,7,7
Nevada-Las Vegas,277.0,389.0,1522.0,417.0,248.0,2693.0,14.0,5.0,389.0,467.0,2647.0,357.0,232.0,2827.0,5.0,21.0,5,5,5,5,5,5,5,5,5,5,5,5
