TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,Wins
TeamName,0
Akron,252.0,439.0,1534.0,374.0,201.0,2206.0,14.0,11.0,350.0,492.0,2205.0,393.0,241.0,2699.0,15.0,2.0,4,4,4,4,4,4,4,4,4,4,4,4
Ball State,341.0,436.0,1767.0,435.0,248.0,3413.0,6.0,4.0,316.0,487.0,2364.0,352.0,224.0,2661.0,18.0,38.0,7,7,7,7,7,7,7,7,7,7,7,7
Bowling Green,368.0,384.0,1561.0,495.0,312.0,3442.0,14.0,8.0,354.0,531.0,2464.0,334.0,201.0,2492.0,14.0,17.0,8,8,8,8,8,8,8,8,8,8,8,8,8
Connecticut,296.0,504.0,1983.0,332.0,189.0,2317.0,5.0,9.0,223.0,434.0,1902.0,392.0,226.0,2254.0,22.0,38.0,9,9,9,9,9,9,9,9,9,9,9,9
Fresno State,342.0,522.0,2456.0,312.0,192.0,2427.0,5.0,16.0,323.0,439.0,2193.0,429.0,248.0,2725.0,3.0,45.0,6,6,6,6,6,6,6,6,6,6,6,6
Hawaii,509.0,261.0,949.0,606.0,424.0,5402.0,19.0,10.0,290.0,460.0,1580.0,427.0,245.0,2607.0,19.0,45.0,12,12,12,12,12,12,12,12,12,12,12,12
Indiana,342.0,442.0,1867.0,402.0,244.0,2853.0,11.0,18.0,321.0,500.0,1865.0,435.0,265.0,2866.0,18.0,37.0,6,6,6,6,6,6,6,6,6,6,6,6
Kent State,239.0,545.0,2403.0,314.0,162.0,1997.0,15.0,11.0,350.0,494.0,1887.0,345.0,228.0,2740.0,9.0,20.0,2,2,2,2,2,2,2,2,2,2,2,2
Middle Tennessee,266.0,459.0,1617.0,324.0,187.0,2425.0,9.0,10.0,339.0,493.0,2398.0,379.0,211.0,2584.0,18.0,42.0,3,3,3,3,3,3,3,3,3,3,3,3
Minnesota,274.0,433.0,1941.0,454.0,262.0,2949.0,19.0,10.0,440.0,483.0,2752.0,430.0,275.0,3472.0,7.0,41.0,2,2,2,2,2,2,2,2,2,2,2,2
Mississippi,241.0,379.0,1578.0,391.0,199.0,2565.0,20.0,7.0,367.0,509.0,2389.0,396.0,250.0,2692.0,8.0,25.0,4,4,4,4,4,4,4,4,4,4,4,4
Nevada-Las Vegas,205.0,436.0,1688.0,409.0,224.0,2550.0,15.0,6.0,343.0,481.0,2205.0,340.0,203.0,2439.0,11.0,13.0,3,3,3,3,3,3,3,3,3,3,3,3
North Carolina,223.0,402.0,1190.0,368.0,220.0,2714.0,19.0,9.0,294.0,492.0,1710.0,354.0,221.0,2487.0,11.0,31.0,4,4,4,4,4,4,4,4,4,4,4,4
Rutgers,333.0,497.0,2282.0,352.0,196.0,2964.0,12.0,12.0,262.0,482.0,1907.0,316.0,160.0,1927.0,9.0,41.0,6,6,6,6,6,6,6,6,6,6,6,6
San Jose State,231.0,385.0,1005.0,450.0,276.0,3172.0,11.0,3.0,352.0,437.0,1985.0,430.0,269.0,2911.0,20.0,14.0,6,6,6,6,6,6,6,6,6,6,6,6
South Alabama,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,307.0,382.0,1364.0,443.0,258.0,3098.0,17.0,11.0,282.0,518.0,2512.0,358.0,199.0,2025.0,14.0,16.0,6,6,6,6,6,6,6,6,6,6,6,6
Southern Cal,326.0,474.0,2220.0,422.0,260.0,2801.0,15.0,10.0,188.0,394.0,950.0,408.0,219.0,2156.0,10.0,49.0,8,8,8,8,8,8,8,8,8,8,8,8,8
Tulane,283.0,489.0,2412.0,360.0,184.0,2339.0,12.0,10.0,375.0,409.0,1591.0,431.0,280.0,3452.0,8.0,10.0,5,5,5,5,5,5,5,5,5,5,5,5
Tulsa,458.0,523.0,2183.0,517.0,307.0,4870.0,19.0,11.0,460.0,552.0,2547.0,459.0,272.0,3550.0,11.0,55.0,8,8,8,8,8,8,8,8,8,8,8,8
U-C-F,467.0,623.0,3156.0,322.0,188.0,2388.0,9.0,14.0,362.0,456.0,1704.0,508.0,282.0,3227.0,23.0,32.0,10,10,10,10,10,10,10,10,10,10,10,10
Utah,294.0,496.0,1964.0,374.0,226.0,2390.0,12.0,8.0,187.0,430.0,1576.0,413.0,208.0,2257.0,16.0,12.0,6,6,6,6,6,6,6,6,6,6,6,6
Utah State,229.0,471.0,1499.0,272.0,177.0,1836.0,9.0,11.0,406.0,482.0,2354.0,387.0,268.0,3050.0,15.0,18.0,2,2,2,2,2,2,2,2,2,2,2,2,2
Vanderbilt,250.0,481.0,1802.0,355.0,193.0,2117.0,12.0,13.0,281.0,412.0,1538.0,367.0,217.0,2365.0,16.0,10.0,5,5,5,5,5,5,5,5,5,5,5,5
Wake Forest,321.0,514.0,1718.0,354.0,250.0,2295.0,15.0,9.0,279.0,416.0,1307.0,480.0,259.0,2905.0,18.0,17.0,8,8,8,8,8,8,8,8,8,8,8,8
Arizona,291.0,320.0,921.0,532.0,332.0,3702.0,12.0,13.0,322.0,461.0,1656.0,452.0,260.0,2810.0,15.0,45.0,6,6,6,6,6,6,6,6,6,6,6,6
Army,189.0,400.0,1049.0,380.0,201.0,2257.0,17.0,14.0,364.0,589.0,2802.0,302.0,195.0,2280.0,7.0,14.0,3,3,3,3,3,3,3,3,3,3,3,3
Florida Atlantic,355.0,432.0,1523.0,469.0,265.0,3434.0,10.0,4.0,405.0,449.0,2154.0,457.0,296.0,2851.0,19.0,6.0,8,8,8,8,8,8,8,8,8,8,8,8
Georgia State,0,0,0,0,0,0,0,0,0,0,0,0
Houston,402.0,569.0,2879.0,399.0,268.0,3279.0,15.0,15.0,359.0,435.0,1702.0,360.0,182.0,2686.0,13.0,34.0,8,8,8,8,8,8,8,8,8,8,8,8
Kansas State,388.0,351.0,1593.0,510.0,322.0,3425.0,12.0,10.0,370.0,464.0,1699.0,413.0,248.0,3108.0,17.0,34.0,5,5,5,5,5,5,5,5,5,5,5,5
Miami-Florida,234.0,478.0,1747.0,301.0,161.0,2034.0,20.0,11.0,312.0,469.0,1605.0,345.0,196.0,2546.0,13.0,13.0,4,4,4,4,4,4,4,4,4,4,4,4
Michigan State,381.0,541.0,2404.0,357.0,218.0,2711.0,7.0,6.0,322.0,419.0,1609.0,376.0,224.0,2607.0,11.0,28.0,7,7,7,7,7,7,7,7,7,7,7,7,7
S-M-U,295.0,470.0,2042.0,432.0,250.0,3025.0,19.0,12.0,477.0,470.0,2367.0,490.0,306.0,3617.0,12.0,45.0,4,4,4,4,4,4,4,4,4,4,4,4
Texas Tech,456.0,226.0,737.0,694.0,500.0,5707.0,15.0,10.0,309.0,530.0,2052.0,378.0,206.0,2353.0,10.0,45.0,5,5,5,5,5,5,5,5,5,5,5,5
Western Michigan,296.0,463.0,1565.0,458.0,288.0,3211.0,17.0,12.0,347.0,467.0,2149.0,388.0,201.0,2642.0,10.0,27.0,5,5,5,5,5,5,5,5,5,5,5,5
Air Force,333.0,660.0,3582.0,194.0,121.0,1445.0,5.0,13.0,232.0,480.0,1572.0,399.0,228.0,2714.0,15.0,20.0,10,10,10,10,10,10,10,10,10,10,10,10
Alabama,298.0,453.0,1808.0,440.0,244.0,2663.0,11.0,7.0,262.0,442.0,1539.0,388.0,208.0,2555.0,17.0,24.0,5,5,5,5,5,5,5,5,5,5,5,5
Arkansas,440.0,575.0,3561.0,280.0,160.0,1928.0,10.0,11.0,307.0,460.0,1760.0,456.0,208.0,2534.0,19.0,38.0,6,6,6,6,6,6,6,6,6,6,6,6
Arkansas State,246.0,460.0,2112.0,388.0,205.0,2446.0,16.0,8.0,331.0,485.0,1980.0,346.0,198.0,2367.0,13.0,45.0,6,6,6,6,6,6,6,6,6,6,6,6
Auburn,294.0,496.0,1850.0,313.0,178.0,2084.0,14.0,9.0,225.0,412.0,1432.0,370.0,209.0,2148.0,14.0,23.0,7,7,7,7,7,7,7,7,7,7,7,7,7
Baylor,176.0,298.0,934.0,561.0,309.0,3281.0,27.0,10.0,434.0,498.0,2188.0,432.0,280.0,3351.0,10.0,42.0,4,4,4,4,4,4,4,4,4,4,4,4
Boise State,503.0,537.0,2539.0,452.0,301.0,3773.0,10.0,7.0,240.0,429.0,1360.0,434.0,233.0,2647.0,17.0,10.0,8,8,8,8,8,8,8,8,8,8,8,8
Boston College,335.0,392.0,1389.0,612.0,368.0,4286.0,18.0,7.0,264.0,397.0,885.0,538.0,318.0,3423.0,21.0,37.0,10,10,10,10,10,10,10,10,10,10,10,10
Brigham Young,357.0,465.0,1843.0,468.0,279.0,3648.0,13.0,11.0,225.0,382.0,1105.0,419.0,246.0,2581.0,15.0,17.0,7,7,7,7,7,7,7,7,7,7,7,7
Buffalo,249.0,427.0,1560.0,382.0,262.0,2615.0,6.0,10.0,331.0,484.0,2096.0,392.0,235.0,2771.0,11.0,42.0,4,4,4,4,4,4,4,4,4,4,4,4
California,305.0,406.0,1949.0,417.0,246.0,2804.0,14.0,11.0,312.0,472.0,1823.0,423.0,259.0,2673.0,10.0,34.0,6,6,6,6,6,6,6,6,6,6,6,6
Central Michigan,387.0,475.0,2377.0,522.0,344.0,3446.0,14.0,10.0,466.0,519.0,2150.0,486.0,318.0,3703.0,16.0,52.0,9,9,9,9,9,9,9,9,9,9,9,9
Cincinnati,407.0,451.0,1850.0,412.0,256.0,3386.0,9.0,13.0,223.0,422.0,1268.0,461.0,277.0,3180.0,23.0,34.0,8,8,8,8,8,8,8,8,8,8,8,8
Clemson,361.0,468.0,1906.0,422.0,281.0,3043.0,6.0,6.0,220.0,405.0,1348.0,382.0,221.0,2217.0,15.0,49.0,10,10,10,10,10,10,10,10,10,10,10,10
Duke,202.0,376.0,768.0,383.0,210.0,2485.0,10.0,11.0,398.0,504.0,2163.0,376.0,242.0,2929.0,11.0,13.0,3,3,3,3,3,3,3,3,3,3,3,3,3
East Carolina,328.0,434.0,2056.0,373.0,211.0,2479.0,9.0,4.0,357.0,448.0,1750.0,476.0,304.0,3487.0,15.0,34.0,9,9,9,9,9,9,9,9,9,9,9,9
Eastern Michigan,274.0,458.0,1878.0,361.0,215.0,2172.0,16.0,4.0,374.0,451.0,2349.0,382.0,231.0,2734.0,16.0,16.0,5,5,5,5,5,5,5,5,5,5,5,5
Florida,458.0,455.0,2372.0,327.0,222.0,3172.0,6.0,9.0,290.0,395.0,1192.0,427.0,252.0,2988.0,9.0,59.0,9,9,9,9,9,9,9,9,9,9,9,9
Florida Intl,171.0,430.0,1429.0,347.0,159.0,1807.0,20.0,14.0,464.0,481.0,2446.0,378.0,236.0,2923.0,7.0,10.0,3,3,3,3,3,3,3,3,3,3,3,3
Georgia,371.0,469.0,2145.0,338.0,185.0,2404.0,9.0,7.0,252.0,421.0,1434.0,372.0,219.0,2462.0,11.0,12.0,10,10,10,10,10,10,10,10,10,10,10,10
Georgia Tech,244.0,508.0,2430.0,331.0,162.0,2195.0,11.0,12.0,231.0,430.0,1202.0,358.0,196.0,2522.0,5.0,69.0,7,7,7,7,7,7,7,7,7,7,7,7
Idaho,238.0,474.0,1898.0,392.0,177.0,2298.0,23.0,11.0,443.0,500.0,1937.0,367.0,243.0,3087.0,11.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1
Illinois,324.0,558.0,3194.0,287.0,160.0,1886.0,13.0,10.0,234.0,419.0,1374.0,441.0,258.0,2891.0,16.0,21.0,10,10,10,10,10,10,10,10,10,10,10,10
Iowa,187.0,438.0,1515.0,376.0,199.0,2281.0,7.0,6.0,225.0,454.0,1464.0,426.0,247.0,2750.0,14.0,35.0,6,6,6,6,6,6,6,6,6,6,6,6
Iowa State,180.0,473.0,1484.0,423.0,254.0,2439.0,14.0,11.0,356.0,413.0,1633.0,399.0,278.0,3051.0,10.0,13.0,6,6,6,6,6,6,6,6,6,6,6,6
Kentucky,384.0,449.0,1878.0,478.0,299.0,3385.0,11.0,13.0,357.0,510.0,2280.0,381.0,214.0,2403.0,15.0,56.0,7,7,7,7,7,7,7,7,7,7,7,7
Louisiana State,455.0,563.0,2846.0,415.0,237.0,2980.0,12.0,3.0,255.0,434.0,1340.0,425.0,197.0,2350.0,21.0,48.0,9,9,9,9,9,9,9,9,9,9,9,9
