TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,Wins
TeamName,0
Akron,318.0,435.0,1982.0,404.0,232.0,2778.0,14.0,6.0,375.0,504.0,2246.0,356.0,226.0,2525.0,9.0,42.0,5,5,5,5,5,5,5,5,5,5,5,5
Ball State,441.0,492.0,2505.0,376.0,252.0,3467.0,7.0,8.0,242.0,433.0,1843.0,428.0,245.0,2680.0,16.0,35.0,11,11,11,11,11,11,11,11,11,11,11,11
Bowling Green,315.0,407.0,1608.0,411.0,274.0,2709.0,9.0,12.0,278.0,462.0,1951.0,354.0,206.0,2170.0,15.0,17.0,6,6,6,6,6,6,6,6,6,6,6,6,6
Connecticut,274.0,507.0,2455.0,323.0,160.0,1767.0,17.0,7.0,237.0,404.0,1403.0,325.0,167.0,1974.0,17.0,12.0,6,6,6,6,6,6,6,6,6,6,6,6
Fresno State,340.0,440.0,2122.0,349.0,208.0,2478.0,11.0,12.0,364.0,451.0,2368.0,354.0,207.0,2354.0,4.0,10.0,6,6,6,6,6,6,6,6,6,6,6,6
Hawaii,288.0,393.0,1291.0,446.0,262.0,3192.0,21.0,14.0,355.0,481.0,1924.0,381.0,216.0,2650.0,15.0,36.0,9,9,9,9,9,9,9,9,9,9,9,9
Indiana,201.0,445.0,2003.0,358.0,193.0,2175.0,11.0,10.0,423.0,501.0,2060.0,396.0,250.0,3126.0,6.0,45.0,6,6,6,6,6,6,6,6,6,6,6,6
Kent State,280.0,527.0,2767.0,300.0,165.0,2036.0,11.0,14.0,380.0,473.0,2144.0,334.0,211.0,2598.0,10.0,28.0,3,3,3,3,3,3,3,3,3,3,3,3
Middle Tennessee,250.0,412.0,1283.0,414.0,256.0,2900.0,11.0,9.0,299.0,453.0,1842.0,365.0,216.0,2554.0,11.0,24.0,5,5,5,5,5,5,5,5,5,5,5,5
Minnesota,239.0,398.0,1270.0,380.0,238.0,2597.0,8.0,10.0,280.0,429.0,1762.0,379.0,217.0,2779.0,14.0,42.0,6,6,6,6,6,6,6,6,6,6,6,6
Mississippi,342.0,475.0,2201.0,311.0,172.0,2583.0,14.0,8.0,213.0,396.0,1020.0,380.0,221.0,2518.0,14.0,28.0,7,7,7,7,7,7,7,7,7,7,7,7
Nevada-Las Vegas,286.0,404.0,1460.0,385.0,223.0,2680.0,6.0,7.0,391.0,510.0,2557.0,312.0,191.0,2521.0,7.0,21.0,5,5,5,5,5,5,5,5,5,5,5,5
North Carolina,286.0,422.0,1501.0,294.0,166.0,2307.0,11.0,10.0,244.0,442.0,1689.0,434.0,261.0,2606.0,19.0,44.0,7,7,7,7,7,7,7,7,7,7,7,7
Rutgers,336.0,390.0,1546.0,377.0,228.0,3196.0,14.0,5.0,222.0,442.0,1668.0,283.0,173.0,2219.0,7.0,12.0,8,8,8,8,8,8,8,8,8,8,8,8
San Jose State,212.0,386.0,1040.0,383.0,236.0,2354.0,13.0,6.0,259.0,425.0,1697.0,356.0,187.0,2043.0,16.0,12.0,5,5,5,5,5,5,5,5,5,5,5,5
South Alabama,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,243.0,403.0,1180.0,402.0,223.0,2622.0,24.0,9.0,243.0,429.0,1544.0,309.0,176.0,1923.0,12.0,17.0,8,8,8,8,8,8,8,8,8,8,8,8
Southern Cal,415.0,469.0,2482.0,352.0,225.0,2955.0,12.0,9.0,93.0,387.0,999.0,345.0,178.0,1474.0,17.0,35.0,8,8,8,8,8,8,8,8,8,8,8,8,8
Tulane,176.0,399.0,1421.0,409.0,228.0,2655.0,15.0,7.0,414.0,463.0,2621.0,288.0,184.0,2074.0,9.0,24.0,5,5,5,5,5,5,5,5,5,5,5,5
Tulsa,560.0,610.0,3313.0,397.0,255.0,4033.0,21.0,9.0,378.0,446.0,1735.0,422.0,256.0,3350.0,8.0,56.0,9,9,9,9,9,9,9,9,9,9,9,9
U-C-F,175.0,453.0,1359.0,308.0,132.0,1395.0,11.0,14.0,289.0,449.0,1513.0,398.0,208.0,2492.0,18.0,24.0,6,6,6,6,6,6,6,6,6,6,6,6
Utah,407.0,475.0,2021.0,373.0,252.0,2842.0,9.0,8.0,207.0,382.0,1258.0,379.0,207.0,2293.0,17.0,42.0,11,11,11,11,11,11,11,11,11,11,11,11
Utah State,264.0,438.0,1653.0,343.0,193.0,2358.0,14.0,11.0,416.0,432.0,1939.0,420.0,270.0,3013.0,12.0,24.0,4,4,4,4,4,4,4,4,4,4,4,4,4
Vanderbilt,209.0,435.0,1658.0,299.0,147.0,1473.0,12.0,9.0,241.0,453.0,1740.0,326.0,178.0,2084.0,18.0,24.0,7,7,7,7,7,7,7,7,7,7,7,7
Wake Forest,214.0,467.0,1339.0,359.0,223.0,2264.0,7.0,12.0,219.0,410.0,1393.0,375.0,197.0,2211.0,17.0,30.0,5,5,5,5,5,5,5,5,5,5,5,5
Arizona,404.0,476.0,1968.0,377.0,242.0,2847.0,8.0,8.0,256.0,379.0,1588.0,361.0,198.0,2037.0,15.0,41.0,7,7,7,7,7,7,7,7,7,7,7,7
Army,167.0,635.0,2897.0,128.0,57.0,555.0,6.0,24.0,284.0,434.0,1741.0,290.0,176.0,2333.0,7.0,10.0,5,5,5,5,5,5,5,5,5,5,5,5
Florida Atlantic,253.0,380.0,1692.0,421.0,223.0,3006.0,15.0,13.0,352.0,497.0,2196.0,363.0,230.0,2629.0,12.0,49.0,6,6,6,6,6,6,6,6,6,6,6,6
Georgia State,0,0,0,0,0,0,0,0,0,0,0,0
Houston,457.0,375.0,1934.0,576.0,388.0,4967.0,10.0,15.0,374.0,480.0,2034.0,401.0,244.0,2989.0,13.0,37.0,7,7,7,7,7,7,7,7,7,7,7,7
Kansas State,350.0,408.0,1590.0,425.0,250.0,3235.0,10.0,14.0,430.0,502.0,2612.0,424.0,257.0,3137.0,10.0,69.0,4,4,4,4,4,4,4,4,4,4,4,4
Miami-Florida,332.0,394.0,1561.0,370.0,212.0,2364.0,19.0,4.0,290.0,463.0,1757.0,315.0,162.0,2032.0,4.0,3.0,7,7,7,7,7,7,7,7,7,7,7,7
Michigan State,272.0,477.0,1661.0,360.0,192.0,2568.0,9.0,12.0,263.0,417.0,1771.0,391.0,204.0,2524.0,13.0,42.0,8,8,8,8,8,8,8,8,8,8,8,8,8
S-M-U,209.0,217.0,497.0,476.0,269.0,3275.0,25.0,7.0,458.0,548.0,2707.0,340.0,218.0,3047.0,8.0,47.0,4,4,4,4,4,4,4,4,4,4,4,4
Texas Tech,500.0,303.0,1427.0,604.0,429.0,5007.0,8.0,11.0,315.0,412.0,1602.0,404.0,256.0,2857.0,17.0,35.0,10,10,10,10,10,10,10,10,10,10,10,10
Western Michigan,329.0,339.0,1458.0,492.0,326.0,3614.0,8.0,13.0,286.0,440.0,1691.0,402.0,226.0,2993.0,13.0,29.0,8,8,8,8,8,8,8,8,8,8,8,8
Air Force,297.0,710.0,3227.0,120.0,66.0,959.0,6.0,9.0,255.0,468.0,1677.0,342.0,197.0,2347.0,11.0,23.0,5,5,5,5,5,5,5,5,5,5,5,5
