TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,Wins
TeamName,0
Akron,275.0,365.0,1373.0,583.0,364.0,3753.0,18.0,9.0,428.0,517.0,2533.0,380.0,232.0,2867.0,5.0,38.0,2,2,2,2,2,2,2,2,2,2,2,2
Ball State,393.0,519.0,2571.0,457.0,297.0,3085.0,10.0,6.0,378.0,480.0,2470.0,394.0,242.0,3047.0,7.0,27.0,9,9,9,9,9,9,9,9,9,9,9,9
Bowling Green,257.0,423.0,1889.0,407.0,223.0,2598.0,13.0,4.0,189.0,390.0,1400.0,368.0,205.0,2076.0,10.0,21.0,5,5,5,5,5,5,5,5,5,5,5,5,5
Connecticut,206.0,419.0,1055.0,388.0,219.0,2765.0,18.0,8.0,238.0,430.0,1175.0,381.0,207.0,2544.0,6.0,7.0,8,8,8,8,8,8,8,8,8,8,8,8
Fresno State,458.0,449.0,1991.0,480.0,319.0,3871.0,6.0,10.0,267.0,512.0,2063.0,353.0,182.0,1961.0,20.0,25.0,8,8,8,8,8,8,8,8,8,8,8,8
Hawaii,200.0,439.0,1293.0,398.0,207.0,2266.0,13.0,20.0,428.0,521.0,2283.0,308.0,169.0,2178.0,9.0,54.0,3,3,3,3,3,3,3,3,3,3,3,3
Indiana,324.0,399.0,1570.0,540.0,331.0,3734.0,13.0,3.0,423.0,554.0,2776.0,356.0,222.0,2786.0,7.0,45.0,3,3,3,3,3,3,3,3,3,3,3,3
Kent State,436.0,548.0,2968.0,325.0,181.0,2118.0,10.0,7.0,326.0,469.0,1848.0,491.0,296.0,3595.0,23.0,14.0,9,9,9,9,9,9,9,9,9,9,9,9
Middle Tennessee,288.0,468.0,2120.0,344.0,217.0,2593.0,8.0,10.0,336.0,490.0,2259.0,379.0,256.0,3031.0,12.0,31.0,8,8,8,8,8,8,8,8,8,8,8,8
Minnesota,212.0,463.0,1753.0,311.0,167.0,2057.0,14.0,7.0,287.0,454.0,2091.0,357.0,199.0,2142.0,11.0,44.0,4,4,4,4,4,4,4,4,4,4,4,4
Mississippi,343.0,502.0,2036.0,374.0,237.0,3086.0,16.0,11.0,342.0,447.0,1600.0,395.0,252.0,3020.0,14.0,28.0,6,6,6,6,6,6,6,6,6,6,6,6
Nevada-Las Vegas,272.0,452.0,1938.0,468.0,250.0,2845.0,17.0,6.0,424.0,585.0,2692.0,375.0,224.0,3096.0,9.0,14.0,2,2,2,2,2,2,2,2,2,2,2,2
North Carolina,460.0,457.0,2326.0,441.0,287.0,3501.0,7.0,11.0,308.0,474.0,1712.0,424.0,246.0,2963.0,16.0,27.0,7,7,7,7,7,7,7,7,7,7,7,7
